pcon24cd,majority_votes
S14000068,null
W07000095,null
S14000087,null
E14001410,lab
E14001369,null
E14001386,null
E14001152,null
E14001502,null
E14001447,null
E14001294,null
E14001080,null
W07000110,null
S14000102,null
E14001595,lab
E14001346,null
E14001203,null
E14001487,null
E14001468,null
E14001192,null
E14001311,null
E14001254,null
E14001604,lab
E14001491,null
E14001184,null
E14001307,lab
E14001242,null
S14000051,ld
W07000106,null
E14001096,null
E14001429,null
E14001079,null
E14001583,lab
E14001350,null
E14001215,null
E14001452,null
E14001517,null
E14001147,null
E14001281,null
S14000092,null
E14001405,null
E14001110,null
E14001540,null
E14001393,null
E14001239,null
N05000009,null
E14001413,null
S14000084,null
W07000096,pc
E14001556,ld
E14001106,lab
E14001385,null
E14001444,null
E14001151,null
E14001501,null
E14001278,null
E14001297,null
E14001576,null
E14001126,null
E14001433,null
E14001063,null
E14001599,null
E14001258,null
E14001171,null
E14001521,null
E14001464,null
E14001537,null
E14001167,null
E14001472,null
E14001188,lab
E14001219,ld
E14001130,green
E14001560,null
E14001075,null
E14001425,null
E14001262,null
E14001327,null
E14001235,null
E14001370,null
N05000005,null
E14001409,null
S14000071,null
E14001389,null
E14001223,null
N05000013,null
E14001366,null
S14000088,null
S14000067,null
E14001274,null
E14001331,lab
E14001448,null
E14001449,null
E14001275,null
E14001330,ld
S14000089,null
S14000066,null
E14001388,null
E14001222,lab
N05000012,null
E14001367,null
E14001408,null
S14000070,null
E14001234,null
E14001371,lab
N05000004,sf
S14000027,null
E14001263,null
E14001326,null
E14001131,green
E14001561,lab
E14001074,lab
E14001424,null
E14001218,null
E14001536,null
E14001166,null
E14001473,null
E14001189,null
E14001170,speaker
E14001520,null
E14001465,null
E14001259,lab
E14001577,lab
E14001127,null
E14001432,null
E14001598,null
E14001279,null
E14001296,lab
E14001445,ld
E14001150,null
E14001500,null
E14001384,null
E14001412,null
S14000085,null
W07000097,null
E14001557,lab
E14001107,null
E14001392,null
E14001238,null
N05000008,null
S14000093,null
E14001404,null
E14001111,null
E14001541,null
W07000081,null
E14001280,null
E14001453,null
E14001516,null
E14001146,null
E14001351,null
E14001214,null
W07000107,null
E14001097,null
E14001428,null
E14001078,null
E14001582,null
E14001306,lab
E14001243,null
E14001490,null
E14001185,null
E14001310,null
E14001255,null
E14001605,null
E14001486,null
E14001469,lab
E14001193,null
E14001347,null
E14001202,null
E14001081,null
W07000111,null
S14000103,null
E14001594,null
E14001209,null
E14001570,null
E14001120,null
S14000108,null
E14001435,lab
E14001065,null
E14001177,null
E14001527,lab
E14001462,null
E14001198,null
E14001248,null
E14001531,null
E14001161,ld
E14001474,null
E14001136,null
E14001566,null
E14001073,null
E14001589,null
E14001423,null
E14001264,lab
E14001321,lab
E14001458,null
E14001233,null
E14001399,null
E14001376,null
N05000003,null
S14000098,null
S14000077,null
E14001225,null
N05000015,null
E14001360,null
E14001419,null
S14000061,null
E14001272,null
E14001337,lab
E14001086,null
E14001069,null
E14001593,null
E14001439,null
S14000104,lab
E14001340,lab
E14001205,lab
E14001481,null
E14001194,null
E14001317,lab
E14001252,null
E14001602,lab
E14001497,null
E14001478,null
E14001182,null
E14001301,null
E14001244,null
E14001090,null
W07000100,null
E14001585,null
E14001356,null
E14001213,lab
E14001454,null
E14001511,ld
E14001141,null
E14001268,ld
E14001287,null
E14001403,null
S14000094,null
W07000086,null
E14001116,null
E14001546,null
E14001395,null
S14000082,ld
E14001415,null
E14001550,lab
E14001100,null
W07000090,null
E14001229,lab
E14001383,null
E14001442,null
E14001157,null
E14001507,ld
E14001291,null
E14001290,null
E14001443,null
E14001156,null
E14001506,null
E14001228,null
E14001382,null
N05000018,sf
S14000083,null
E14001414,null
E14001551,null
E14001101,null
W07000091,null
E14001394,null
E14001402,null
S14000095,null
W07000087,null
E14001117,null
E14001547,null
E14001269,null
E14001286,null
E14001455,lab
E14001510,null
E14001140,null
E14001357,null
E14001212,null
E14001091,lab
W07000101,null
E14001584,lab
E14001300,null
E14001245,null
E14001496,null
E14001479,null
E14001183,null
E14001316,null
E14001253,null
E14001603,null
E14001480,null
E14001195,null
E14001341,lab
E14001204,null
E14001087,null
E14001068,null
E14001592,null
E14001438,null
S14000105,null
E14001273,null
E14001336,null
E14001418,null
S14000060,null
E14001224,null
N05000014,null
E14001361,null
S14000099,null
S14000076,null
E14001232,null
E14001398,ld
E14001377,null
N05000002,null
E14001459,lab
S14000021,null
E14001265,null
E14001320,null
E14001137,null
E14001567,null
E14001072,null
E14001588,null
E14001422,null
E14001530,null
E14001160,null
E14001475,null
E14001249,null
E14001176,null
E14001526,null
E14001463,lab
E14001199,null
E14001571,null
E14001121,null
S14000109,null
E14001434,null
E14001064,null
E14001208,null
